pfam_acc	evalue
zzz	PF12443.9	1
zzz	PF00490.22	1
zzz	PF01262.22	1
zzz	PF05222.16	1
zzz	PF06610.14	1
zzz	PF11839.9	1
zzz	PF00842.22	1
zzz	PF01168.21	1
zzz	PF09135.12	1
zzz	PF01918.22	1
zzz	PF04326.15	1
zzz	PF08027.12	1
zzz	PF16720.6	1
zzz	PF17527.3	1
zzz	PF11606.9	1
zzz	PF00171.23	1
zzz	PF01081.20	1
zzz	PF00596.22	1
zzz	PF01263.21	1
zzz	PF00248.22	1
zzz	PF11266.9	1
zzz	PF01315.23	1
zzz	PF02738.19	1
zzz	PF03752.14	1
zzz	PF12165.9	1
zzz	PF15924.6	1
zzz	PF08660.12	1
zzz	PF05208.14	1
zzz	PF03155.16	1
zzz	PF11182.9	1
zzz	PF13372.7	1
zzz	PF05426.13	1
zzz	PF08787.12	1
zzz	PF16822.6	1
zzz	PF13949.7	1
zzz	PF06029.12	1
zzz	PF14864.7	1
zzz	PF14863.7	1
zzz	PF00245.21	1
zzz	PF03561.16	1
zzz	PF05953.13	1
zzz	PF06351.12	1
zzz	PF05549.12	1
zzz	PF04864.14	1
zzz	PF15309.7	1
zzz	PF18727.2	1
zzz	PF11744.9	1
zzz	PF04030.15	1
zzz	PF06401.12	1
zzz	PF06400.12	1
zzz	PF00128.25	1
zzz	PF02806.19	1
zzz	PF02903.15	1
zzz	PF09071.11	1
zzz	PF07821.13	1
zzz	PF04168.13	1
zzz	PF14456.7	1
zzz	PF06964.13	1
zzz	PF09261.12	1
zzz	PF08829.11	1
zzz	PF17480.3	1
zzz	PF02883.21	1
zzz	PF02296.17	1
zzz	PF01589.17	1
zzz	PF00943.20	1
zzz	PF01563.17	1
zzz	PF03229.14	1
zzz	PF18489.2	1
zzz	PF02816.19	1
zzz	PF01120.18	1
zzz	PF02232.16	1
zzz	PF09608.11	1
zzz	PF17989.2	1
zzz	PF15729.6	1
zzz	PF15299.7	1
zzz	PF10369.10	1
zzz	PF16541.6	1
zzz	PF11092.9	1
zzz	PF02430.16	1
zzz	PF07344.12	1
zzz	PF17645.2	1
zzz	PF12475.9	1
zzz	PF05111.13	1
zzz	PF02948.16	1
zzz	PF15757.6	1
zzz	PF12190.9	1
zzz	PF04709.13	1
zzz	PF01425.22	1
zzz	PF12123.9	1
zzz	PF01510.26	1
zzz	PF01520.19	1
zzz	PF05382.14	1
zzz	PF12671.8	1
zzz	PF02274.18	1
zzz	PF01979.21	1
zzz	PF04909.15	1
zzz	PF07969.12	1
zzz	PF12224.9	1
zzz	PF09663.11	1
zzz	PF11741.9	1
zzz	PF10706.10	1
zzz	PF10023.10	1
zzz	PF00155.22	1
zzz	PF00202.22	1
zzz	PF01063.20	1
zzz	PF00266.20	1
zzz	PF12897.8	1
zzz	PF01593.25	1
zzz	PF02293.16	1
zzz	PF10997.9	1
zzz	PF01871.18	1
zzz	PF00909.22	1
zzz	PF14828.7	1
zzz	PF10423.10	1
zzz	PF02461.17	1
zzz	PF04896.13	1
zzz	PF03782.18	1
zzz	PF00501.29	1
zzz	PF13193.7	1
zzz	PF14535.7	1
zzz	PF17113.6	1
zzz	PF16561.6	1
zzz	PF04739.16	1
zzz	PF05195.17	1
zzz	PF12859.8	1
zzz	PF03256.17	1
zzz	PF15243.7	1
zzz	PF17256.3	1
zzz	PF08672.12	1
zzz	PF12895.8	1
zzz	PF12896.8	1
zzz	PF12894.8	1
zzz	PF12862.8	1
zzz	PF04049.14	1
zzz	PF12856.8	1
zzz	PF10471.10	1
zzz	PF01821.19	1
zzz	PF02166.17	1
zzz	PF06369.13	1
zzz	PF03139.16	1
zzz	PF09582.11	1
zzz	PF01094.29	1
zzz	PF12240.9	1
zzz	PF08174.12	1
zzz	PF16018.6	1
zzz	PF00023.31	1
zzz	PF07260.12	1
zzz	PF18418.2	1
zzz	PF12796.8	1
zzz	PF13606.7	1
zzz	PF13637.7	1
zzz	PF13857.7	1
zzz	PF03702.15	1
zzz	PF00191.21	1
zzz	PF18411.2	1
zzz	PF04547.13	1
zzz	PF16178.6	1
zzz	PF10731.10	1
zzz	PF00212.19	1
zzz	PF03452.15	1
zzz	PF03374.15	1
zzz	PF08346.13	1
zzz	PF03861.15	1
zzz	PF07651.17	1
zzz	PF09156.11	1
zzz	PF03497.17	1
zzz	PF05587.14	1
zzz	PF04715.14	1
zzz	PF10796.10	1
zzz	PF15777.6	1
zzz	PF02522.15	1
zzz	PF08264.14	1
zzz	PF11410.9	1
zzz	PF11402.9	1
zzz	PF11641.9	1
zzz	PF16364.6	1
zzz	PF09255.11	1
zzz	PF08105.12	1
zzz	PF08106.12	1
zzz	PF08107.12	1
zzz	PF08108.12	1
zzz	PF08109.12	1
zzz	PF08110.13	1
zzz	PF08129.12	1
zzz	PF08130.12	1
zzz	PF08225.12	1
zzz	PF08256.12	1
zzz	PF14861.7	1
zzz	PF16047.6	1
zzz	PF16048.6	1
zzz	PF16049.6	1
zzz	PF16839.6	1
zzz	PF08018.12	1
zzz	PF08023.13	1
zzz	PF08025.12	1
